char,division,code,division_tw,code_tw,region
𧪛,言烏,BDwⓨ,,,CJK-B
𧪜,言䒑屮月,BQWW,,,CJK-B
𧪝,言禾丬匕,BMQN,,,CJK-B
𧪞,言土厶皿,BHNU,,,CJK-B
𧪟,言罒水,BUNs,言罒丶,BUCK,CJK-B
𧪠,言疒矢,BMJi,,,CJK-B
𧪡,言耂匕日,BHNJ,,,CJK-B
𧪢,言气米,BGQm,,,CJK-B
𧪣,言乛水灬,BYNI,,,CJK-B
𧪤,言虍夊,BUTp,,,CJK-B
𧪥,言⺁虍丁,BDUJ,,,CJK-B
𧪦,言日习习,BJVV,言冂二习,BCIV,CJK-B
𧪧,言匚コ,BHBK,,,CJK-B
𧪨,言馬,BWmⓨ,,,CJK-B
𧪩,言自心,BQRi,,,CJK-B
𧪪,言冂大皿,BCOU,,,CJK-B
𧪫,言乂匕,BDSN,,,CJK-B
𧪬,月言糸,WBOs,,,CJK-B
𧪭,言卯田,BKVt,,,CJK-B
𧪮,言艹大丂,BSOH,,,CJK-B
𧪯,言口丄コ,BLJB,,,CJK-B
𧪰,羊工言,QPBy,羊丿工言,QGPB,CJK-B
𧪱,言勹日丂,BWJH,,,CJK-B
𧪲,言𠂤辶,BDOc,,,CJK-B
𧪳,言乂心,BDSR,,,CJK-B
𧪴,言犭山王,BHUJ,,,CJK-B
𧪵,鬼言,DByⓖ,,,CJK-B
𧪶,言忄十子,BRGK,,,CJK-B
𧪷,卄乂一斤,SSFD,,,CJK-B
𧪸,言廿一土,BSFH,,,CJK-B
𧪹,言宀辛,BIKx,,,CJK-B
𧪺,言人一〢,BRFU,,,CJK-B
𧪻,言立立,BKKl,,,CJK-B
𧪼,言口貝,BLJb,,,CJK-B
𧪽,言丌䒑日,BLQJ,,,CJK-B
𧪾,言子丿糸,BKGO,,,CJK-B
𧪿,言冂土,BSCH,,,CJK-B
𧫀,言亠火𧘇,BAIG,,,CJK-B
𧫁,言土口𧘇,BHLG,,,CJK-B
𧫂,言車子,BDKz,,,CJK-B
𧫃,龷八小言,SKIB,,,CJK-B
𧫄,言髟,BUbⓨ,,,CJK-B
𧫅,言虍手,BUFs,,,CJK-B
𧫆,言尚儿,BIWr,,,CJK-B
𧫇,言巛貝,BLJb,,,CJK-B
𧫈,言月合,BWRh,,,CJK-B
𧫉,言土土心,BHHR,,,CJK-B
𧫊,戈口一言,KLFB,,,CJK-B
𧫋,䒑屮月言,QWWB,,,CJK-B
𧫌,言止月刂,BPWM,,,CJK-B
𧫍,言自王,BQJw,,,CJK-B
𧫎,言冫欠心,BIXR,言二欠心,BIXR,CJK-B
𧫏,鬼言,DByⓖ,,,CJK-B
𧫐,言厶龰月,BNPW,,,CJK-B
𧫑,言竹乃乀,BGGK,言竹丿又,BGGB,CJK-B
𧫒,言宀亠十,BIAG,,,CJK-B
𧫓,言鹵,BUlⓨ,,,CJK-B
𧫔,言非土,BUHt,,,CJK-B
𧫕,言示,BWJs,,,CJK-B
𧫖,言田糸,BVOs,,,CJK-B
𧫗,言大乂乂,BOSS,,,CJK-B
𧫘,言儿言儿,BWBW,,,CJK-B
𧫙,言立日儿,BKJW,,,CJK-B
𧫚,言廿儿巾,BSWU,,,CJK-B
𧫛,言羊丶水,BQKN,,,CJK-B
𧫜,彐厶匚言,BNHB,,,CJK-B
𧫝,言乂夊,BDST,,,CJK-B
𧫞,言尸雨,BBCy,,,CJK-B
𧫟,言隹乚大,BEEO,,,CJK-B
𧫠,言其土,BUHt,,,CJK-B
𧫡,言穴至,BIDz,,,CJK-B
𧫢,言亡月王,BTWJ,言亡月壬,BTWM,CJK-B
𧫣,木口夊言,ALTB,,,CJK-B
𧫤,言日卄,BJSA,言田龷十,BVSG,CJK-B
𧫥,言广大电,BMOD,,,CJK-B
𧫦,匚矢殳言,HJEB,,,CJK-B
𧫧,言人丶酉,BRKP,言人一酉,BRFP,CJK-B
𧫨,言广屮目,BMWJ,,,CJK-B
𧫩,言卄一入,BSFK,,,CJK-B
𧫪,言虍人,BUKR,,,CJK-B
𧫫,言彐月殳,BBWE,,,CJK-B
𧫬,ヰ八夊言,AKTB,,,CJK-B
𧫭,言大大日,BOOJ,,,CJK-B
𧫮,言尸丿干,BBGN,,,CJK-B
𧫯,丬匕广言,QNMB,,,CJK-B
𧫰,言广一龰,BMFP,,,CJK-B
𧫱,言立早,BKJz,,,CJK-B
𧫲,言户〣〢,BHUU,,,CJK-B
𧫳,言戊上小,BKJI,,,CJK-B
