char,division,code,division_tw,code_tw,region
傑,亻夕ヰ木,EYAA,,,CJK
傒,亻爫幺大,EVJM,,,CJK
傓,亻户习习,EQKK,亻戶习习,EWKK,CJK
傔,亻䒑彐八,ELVM,,,CJK
傕,亻冖隹,EOOc,,,CJK
傖,亻人丶口,EUIK,亻人一口,EUFK,CJK
傗,亻亠幺田,ERJS,,,CJK
傘,人人人十,UUUR,,,CJK
備,亻龷丿用,EDWA,,,CJK
傚,亻亠八夊,ERMT,,,CJK
傛,亻穴人口,EBUK,,,CJK
傜,亻爫缶,EVWf,亻缶,EYWf,CJK
傝,亻日习习,EJKK,亻冂二习,EQAK,CJK
傞,亻羊工,EMNg,,,CJK
傟,亻八厶习,EMDK,,,CJK
傠,亻言寸,ERHc,,,CJK
傡,亻立立,EWWl,,,CJK
傢,亻宀豕,EIKs,,,CJK
傣,亻𡗗水,EMNs,,,CJK
傤,亻十戈车,ERKG,,,CJK
傥,亻尚儿,EGEe,,,CJK
傦,亻骨,EHg,,,CJK
傧,亻宀斤八,EILM,,,CJK
储,亻讠耂日,ECHJ,,,CJK
傩,亻又隹,EDOc,,,CJK
傪,亻厶厶彡,EDDW,,,CJK
傫,亻田糸,ESUs,,,CJK
催,亻山隹,EJOc,,,CJK
傭,亻广肀月,EUVY,,,CJK
傮,亻艹日日,EDJJ,,,CJK
傯,亻夊心,EOTN,亻心,EOWN,CJK
傰,亻山月月,EJYY,,,CJK
傱,亻彳人龰,EWUN,,,CJK
傲,亻龶勹夊,EHIT,亻士方夊,EHIT,CJK
傳,亻寸,EXHc,,,CJK
傴,亻匚口口,ETKK,,,CJK
債,亻龶貝,EHLb,,,CJK
傶,亻戊上小,EKOI,,,CJK
傷,亻𠂉日,EGJW,,,CJK
傸,亻大乂乂,EMCC,,,CJK
傹,亻立日儿,EWJE,,,CJK
傺,亻示,EYCs,,,CJK
傻,亻乂夊,EOCT,,,CJK
傼,亻卄一夫,EDFM,,,CJK
傽,亻立早,EWJz,,,CJK
傾,亻匕丆貝,EBVL,,,CJK
傿,亻一止灬,EFNM,,,CJK
僀,亻卌一巾,EDFR,,,CJK
僁,亻丿米心,EWTN,,,CJK
僂,亻口十女,EKRW,,,CJK
僃,亻艹勹用,EDIA,亻卝勹用,EDIA,CJK
僄,亻覀示,ELCs,,,CJK
僅,亻革二,EPAe,,,CJK
