char,division,code,division_tw,code_tw,region
𥑏,石口乂,ulc,石口乂,ulc,CJK-B
𥑐,石甲,una,石甲,una,CJK-B
𥑑,石幺力,uuw,石幺力,uuw,CJK-B
𥑒,石人小,urk,石人小,urk,CJK-B
𥑓,石屮,uxu,石屮乚,uxe,CJK-B
𥑔,石瓜,uvg,石瓜,uvg,CJK-B
𥑕,石丶,uso,石丶,uso,CJK-B
𥑖,石心丿,ugw,石心丿,ugw,CJK-B
𥑗,石一丶,ufo,石一丶,ufo,CJK-B
𥑘,石未,usj,石未,usj,CJK-B
𥑙,工力石,pwu,工力石,pwu,CJK-B
𥑚,石丿人,uwr,石丿人,uwr,CJK-B
𥑛,石口,usl,石口,usl,CJK-B
𥑜,石不一,uif,石不一,uif,CJK-B
𥑝,石乛水,uvv,石乛水,uvv,CJK-B
𥑞,石冂大,uzt,石冂大,uzt,CJK-B
𥑟,士冖石,gyu,士冖石,gyu,CJK-B
𥑠,石卄二,usp,石卄二,usp,CJK-B
𥑡,石木丶,ufo,石木丶,ufo,CJK-B
𥑢,石巾,usr,石巾,usr,CJK-B
𥑣,石⺁丶,uno,石⺁丶,uno,CJK-B
𥑤,石由,uyb,石由,uyb,CJK-B
𥑥,石生,ueh,石生,ueh,CJK-B
𥑦,生石,euh,生石,euh,CJK-B
𥑧,亻寸石,eau,亻寸石,eau,CJK-B
𥑨,石乂,urc,石乂,urc,CJK-B
𥑩,石丿又,uwb,石丿又,uwb,CJK-B
𥑪,石勹乚,uhe,石勹乚,uhe,CJK-B
𥑫,石穴,uhc,石穴,uhc,CJK-B
𥑬,石冂一,uzf,石一,uhf,CJK-B
𥑭,石匚コ,ukb,石匚コ,ukb,CJK-B
𥑮,石古,ubu,石古,ubu,CJK-B
𥑯,石冖乚,uye,石冖乚,uye,CJK-B
𥑰,石工,usp,石工,usp,CJK-B
𥑱,工刀石,pdu,工刀石,pdu,CJK-B
𥑲,石日一,ujf,石日一,ujf,CJK-B
𥑳,石戈,ups,石戈,ups,CJK-B
𥑴,石亠𧘇,uow,石亠𧘇,uow,CJK-B
𥑵,石𠂤,ugd,石𠂤,ugd,CJK-B
𥑶,石丰八,uzu,石丰八,uzu,CJK-B
𥑷,石日人,ujr,石日人,ujr,CJK-B
𥑸,石舟,ucl,石舟,ucl,CJK-B
𥑹,石大丂,utu,石大丂,utu,CJK-B
𥑺,石䒑屮,uqx,石䒑屮,uqx,CJK-B
𥑻,石⺧儿,utq,石⺧儿,utq,CJK-B
𥑼,亻戈石,epu,亻戈石,epu,CJK-B
𥑽,石⺁巴,una,石⺁巴,una,CJK-B
𥑾,石十卄,uds,石十卄,uds,CJK-B
𥑿,石月,ush,石月,ush,CJK-B
𥒀,石氵,uij,石氵,uij,CJK-B
𥒁,石⺍川,uix,石⺍川,uix,CJK-B
𥒂,石一刂,ufx,石一刂,ufx,CJK-B
𥒃,石土也,ugs,石土也,ugs,CJK-B
𥒄,石米,uks,石米,uks,CJK-B
𥒅,石一乂,ufc,石一乂,ufc,CJK-B
