char,division,code,quick_simp,quick_trad,region,details
冁,丷日十,UJDG,,,GB2312,丷日十{畏下同匚}
冂,冂,Kgƒ,,,GB2312,
内,冂人,KTeg,kt,kt,GB2312,
冈,冂乂,KWag,kwa,kwa,GB2312,
冉,冂土,KHvg,khv,khv,GB2312,
册,一,WWFi,wwf,wwf,GB2312,{⺆同月}{⺆同月}一
再,王冂,GKg,,gk,GB2312,
冒,冂二目,KSMv,,,GB2312,
冕,冂二冖儿,KSYQ,ksy,ksy,GB2312,
冖,冖,Ymƒ,,,GB2312,
冗,冖几,YQjm,yqj,,GB2312,
写,冖丂一,YSFi,ysf,ysf,GB2312,
军,冖车,YHcm,yhc,yhc,GB2312,
农,冖𧘇,YWym,yw,ywy,GB2312,
冠,冖一兀寸,YFHA,yfh,yfh,GB2312,
冢,冖豕丶,YDOd,,,GB2312,
冤,冖冖口丶,YYLO,yyl,yy,GB2312,
冥,冖日亠八,YJOT,yjo,yjo,GB2312,
冫,二,Srƒƒ,,,GB2312,
冬,夂⺀,ESrh,,es,GB2312,夂{两点同二}
冯,二马,SXmr,sxm,sxm,GB2312,
冰,二水,SKhr,skh,skh,GB2312,
冱,二二,SSBm,ssb,ssb,GB2312,二二{互中同母}
冲,二口丨,SLNs,sl,sln,GB2312,
决,二乙大,SVGd,svg,svg,GB2312,
况,二口儿,SLQr,slq,slq,GB2312,
冶,二厶口,SVLv,svl,svl,GB2312,
冷,二人丶又,STOB,sto,sto,GB2312,二人丶{マ同又}
冻,二七小,SAMa,sam,sam,GB2312,
冼,二儿,SWQr,,,GB2312,二⺧儿
冽,二歹刂,SDMd,,,GB2312,
净,二冖彐乙,SYXV,,,GB2312,
凄,二十彐女,SDXC,sdx,sdx,GB2312,
准,二隹,SWir,sw,,GB2312,
凇,二木八厶,SFTV,sft,sft,GB2312,
凉,二亠口小,SOLM,sol,sol,GB2312,
凋,二土口,SWHL,,,GB2312,二{⺆同月}土口
凌,二土八夂,SHTE,sht,,GB2312,
减,二戊一口,SDFL,sdf,sdf,GB2312,
凑,二𡗗一大,SGFG,sgf,sgf,GB2312,
凛,二亠囗示,SONH,son,,GB2312,
凝,二匕矢龰,SRQN,srq,srq,GB2312,
几,几,Qjƒ,qj,qj,GB2312,
凡,凡,Qnƒ,qn,qn,GB2312,
凤,几又,QBuj,qbu,qbu,GB2312,
凫,几,YQja,,,GB2312,{鸟上同鸟}几
凭,亻壬几,EEQj,eeq,eeq,GB2312,
凯,山己几,JBQj,jbq,jbq,GB2312,
凰,几白王,QEGv,qeg,qeg,GB2312,
凳,癶一口几,BFLQ,bfl,,GB2312,{登上同又}一口几
凵,凵,Xcƒ,,,GB2312,
凶,乂凵,WXca,wxc,wxc,GB2312,
凸,丨一丨一,NFNF,nfn,nfn,GB2312,
凹,一,KFig,kfi,kfi,GB2312,{雋下同冂}一
出,屮凵,XXcc,xx,xx,GB2312,{屮同凵}凵
击,凵,AXc,ax,,GB2312,キ凵
凼,水凵,KXch,kxc,kxc,GB2312,
函,乙水凵,VKXc,vkx,vkx,GB2312,
凿,〢䒑䒑凵,NUUX,nuu,,GB2312,
刀,刀,Bdƒ,bd,bd,GB2312,
刁,乙一,VFii,vfi,vfi,GB2312,
刂,刂,Mdƒ,,,GB2312,
刃,刀丶,BOdd,,,GB2312,
分,八刀,TBdb,tbd,tbd,GB2312,
切,七刀,ABdi,ab,abd,GB2312,
刈,乂刂,WMda,,,GB2312,
刊,干刂,HMdg,hmd,hmd,GB2312,
刍,冖彐,YXvm,yxv,,GB2312,
刎,刂,WTMd,wtm,wtm,GB2312,{⼓同月}{两撇同彡}刂
刑,一卄刂,FSMd,,,GB2312,
划,戈刂,GMdg,gm,gmd,GB2312,
刖,月刂,WMd,,,GB2312,
列,歹刂,DMdd,dmd,dmd,GB2312,
刘,文刂,PMde,pmd,pmd,GB2312,
则,贝刂,KMdb,km,kmd,GB2312,
刚,冂乂刂,KWMd,kw,kwm,GB2312,
创,人乙刂,TVMd,tvm,tvm,GB2312,
初,衤刀,PBdy,pbd,pb,GB2312,
删,一刂,WWFM,,,GB2312,{⺆同月}{⺆同月}一刂
判,丷刂,UAMd,uam,uam,GB2312,丷キ刂
刨,巳刂,WXMd,wxm,wxm,GB2312,{⼓同月}巳刂
利,禾刂,RMdh,rmd,rmd,GB2312,
别,口力刂,LXMd,lxm,lx,GB2312,
刭,ス工刂,BFMd,bfm,bfm,GB2312,{ス同又}工刂
刮,舌刂,RMde,,,GB2312,
到,至刂,HMdk,hm,hm,GB2312,
刳,大一丂刂,GFSM,,,GB2312,
制,牛冂刂,WKMd,wk,wk,GB2312,
刷,尸巾刂,BMMd,bmm,bmm,GB2312,
券,丷夫刀,UGBd,ugb,ugb,GB2312,
刹,乂朩刂,WFMd,wfm,,GB2312,
刺,木冂刂,FKMd,fkm,fkm,GB2312,
刻,亥刂,OMdi,om,om,GB2312,
刽,人二厶刂,TSVM,tsv,,GB2312,
刿,山夕刂,JRMd,jrm,jrm,GB2312,
剀,山己刂,JBMd,,,GB2312,
剁,几木刂,QFMd,,qfm,GB2312,
剂,文刂,PTMd,ptm,ptm,GB2312,文{介下同八}刂
剃,丷弓丨刂,UVNM,,,GB2312,
削,小月刂,MWMd,mwm,mwm,GB2312,
剌,木口刂,FLMd,flm,flm,GB2312,
前,䒑月刂,UWMd,uw,uw,GB2312,
剐,口冂人刂,LKTM,,,GB2312,
剑,人二ッ刂,TSIM,tsi,tsi,GB2312,人二{三點同氵}刂
剔,日刂,JWTM,,,GB2312,日{⼓同月}{两撇同彡}刂
剖,立口刂,ILMd,ilm,ilm,GB2312,
剜,宀夕乙刂,ORVM,,,GB2312,
剞,大丁口刂,GALM,,,GB2312,
剡,火火刂,UUMd,uum,uum,GB2312,
剥,彐水刂,XKMd,xkm,xkm,GB2312,
剧,尸古刂,BDMd,bdm,,GB2312,
剩,禾丬匕刂,RURM,rur,rur,GB2312,
剪,䒑月刂刀,UWMB,uwm,,GB2312,
副,一口田刂,FLJM,flj,flj,GB2312,
割,宀丰口刂,ODLM,,,GB2312,
剽,覀示刂,DHMd,dhm,dhm,GB2312,
剿,巛日木刂,VJFM,,vjf,GB2312,
劁,隹灬刂,WUMd,wum,wum,GB2312,
劂,厂䒑屮刂,SUXM,,,GB2312,厂䒑{屮同凵}刂
劈,尸口辛刀,BLOB,,,GB2312,
劐,艹隹又刂,SWBM,,,GB2312,
劓,自田丌刂,TJAM,,,GB2312,
力,力,Xlƒ,xl,xl,GB2312,
劝,又力,BXlu,bxl,bxl,GB2312,
办,力八,XTbl,xt,xtb,GB2312,
功,工力,FXlo,fx,fx,GB2312,
加,力口,XLvl,xlv,xlv,GB2312,
务,夂力,EXlh,ex,,GB2312,
劢,乙力,DVXl,dvx,dvx,GB2312,{丆同石}乙力
劣,小丿力,MQXl,mqx,mqx,GB2312,
动,二厶力,SVXl,sv,svx,GB2312,
助,且力,MXlq,mxl,mxl,GB2312,
努,女又力,CBXl,cb,cbx,GB2312,
劫,土厶力,HVXl,,hvx,GB2312,
劬,口力,WLXl,wlx,wlx,GB2312,{⼓同月}口力
劭,刀口力,BLXl,blx,blx,GB2312,
励,厂乙力,SDVX,,,GB2312,厂{丆同石}乙力
劲,ス工力,BFXl,bfx,bfx,GB2312,{ス同又}工力
劳,艹冖力,SYXl,syx,syx,GB2312,
劾,亥力,OXli,oxl,oxl,GB2312,
势,扌九丶力,AYOX,ay,ayo,GB2312,
勃,十冖子力,DYBX,,,GB2312,
勇,又用力,BTXl,btx,btx,GB2312,{マ同又}用力
勉,冖口儿力,YLQX,,,GB2312,
勋,口贝力,LKXl,lkx,lkx,GB2312,
勐,子皿力,BMXl,bmx,bmx,GB2312,
勒,革力,GXle,gx,gxl,GB2312,
勖,冂二目力,KSMX,,,GB2312,
勘,其乚力,DXXl,,,GB2312,
募,艹日大力,SJGX,,,GB2312,
勤,革二力,GSXl,gsx,gsx,GB2312,
勰,力力力心,XXXY,xxx,,GB2312,
勹,,Wvƒƒ,,,GB2312,{⼓同月}
勺,丶,WOd,,,GB2312,{⼓同月}丶
勾,厶,WVv,,,GB2312,{⼓同月}厶
勿,,WTi,,,GB2312,{⼓同月}{两撇同彡}
匀,二,WSr,,,GB2312,{⼓同月}二
包,巳,WXs,,,GB2312,{⼓同月}巳
匆,丶,WTOd,wto,wto,GB2312,{⼓同月}{两撇同彡}丶
匈,乂凵,WWXc,,,GB2312,{⼓同月}乂凵
匍,甫,WFu,,,GB2312,{⼓同月}甫
匏,大一丂巳,GFSX,,,GB2312,
